FID,pk,efetivacao,tipo,nivel,upperlimit,uom_ulimit,lowerlimit,uom_llimit,rumo_verda,rumo_mag,c_rumo_ver,c_rumo_mag,aerovia,geom,emenda,emenda_futura
airway.19,25,2017-10-12,CONV,LOWER,245,FL,145,FL,238,254,58,74,A314,"MULTILINESTRING ((-51.145958333 -29.950138889, -51.317941365573496 -30.043695354039187, -51.49024751838141 -30.13702520448748, -51.662877829610835 -30.23012717593142, -51.83583333 -30.323))",2018-09-13,2018-10-11
airway.20,6104,2018-02-01,CONV,LOWER,245,FL,145,FL,241,257,62,76,A314,"MULTILINESTRING ((-51.967108333 -30.386380556, -52.13720149535041 -30.46818300491826, -52.30757881433543 -30.54976226935968, -52.47824091316987 -30.631117260212328, -52.649188406682576 -30.71224688598528, -52.82042190119883 -30.793150052829187, -52.99194199442207 -30.873825664557447, -53.16374927531497 -30.95427262266778, -53.3358443239797 -31.03448982636444, -53.50822771153756 -31.114476172581018, -53.6809 -31.194230556))",2018-09-13,2018-10-11
airway.21,27,2018-02-01,CONV,LOWER,245,FL,145,FL,225,238,45,59,A314,"MULTILINESTRING ((-54.109716667 -31.390713889, -54.22169483591187 -31.485964571264297, -54.33390003265449 -31.5811156861994, -54.44633333 -31.67616667))",2018-09-13,2018-10-11
airway.22,6851,2018-02-01,CONV,LOWER,245,FL,145,FL,242,256,62,76,A314,"MULTILINESTRING ((-53.6809 -31.194230556, -53.82364128132816 -31.259884618886428, -53.966580069762095 -31.325379271533258, -54.109716667 -31.390713889))",2018-09-13,2018-10-11
airway.23,4487,2013-12-12,CONV,LOWER,245,FL,145,FL,92,112,271,292,A428,"MULTILINESTRING ((-47.607188717 -23.5015229, -47.49270647086525 -23.50433129678567, -47.378219444 -23.507055556))",2018-09-13,2018-10-11
airway.24,28,2017-06-21,CONV,LOWER,245,FL,145,FL,72,88,251,269,A428,"MULTILINESTRING ((-54.31333333 -24.345000000000002, -54.13512040290025 -24.291049726372467, -53.957058332878894 -24.236890240281188, -53.77914719254776 -24.18252224010258, -53.60138704809662 -24.12794642499555, -53.42377795932599 -24.07316349488087, -53.246319979675135 -24.018174150419277, -53.069013156250335 -23.96297909298961, -52.891857529853326 -23.90757902466725, -52.71485313501014 -23.85197464820264, -52.538000000000004 -23.796166667))",2018-09-13,2018-10-11
airway.25,31,2017-06-21,CONV,LOWER,245,FL,145,FL,93,113,273,293,A428,"MULTILINESTRING ((-50.38933333 -23.379, -50.209334856602545 -23.38844015987245, -50.02931115311786 -23.397673080426248, -49.84926276539757 -23.406698642069248, -49.669190240552155 -23.4155167278442, -49.489094126945155 -23.424127223432688, -49.308974974165565 -23.43253001716001, -49.128833333 -23.440725))",2018-09-13,2018-10-11
airway.26,29,2017-06-21,CONV,LOWER,245,FL,145,FL,71,89,251,269,A428,"MULTILINESTRING ((-52.05366667 -23.64366667, -51.89650991112311 -23.593371267097208, -51.73947312222552 -23.5429166550913, -51.58255630084493 -23.492303333433878, -51.425759440699636 -23.441531801909658, -51.269082531706886 -23.39060256062566, -51.11252556 -23.33951611))",2018-09-13,2018-10-11
airway.27,30,2017-06-21,CONV,LOWER,245,FL,145,FL,94,112,273,293,A428,"MULTILINESTRING ((-51.11252556 -23.33951611, -50.931767907666206 -23.34970030713637, -50.75098295251261 -23.35967577421024, -50.570171243244864 -23.36944238101323, -50.38933333 -23.379))",2018-09-13,2018-10-11
airway.28,2656,2017-06-21,CONV,LOWER,245,FL,145,FL,71,89,251,269,A428,"MULTILINESTRING ((-52.538000000000004 -23.796166667, -52.37643039541581 -23.74550224005017, -52.214985946571645 -23.694668729935678, -52.05366667 -23.64366667))",2018-09-13,2018-10-11
airway.29,6043,2017-06-21,CONV,LOWER,245,FL,145,FL,93,113,272,293,A428,"MULTILINESTRING ((-49.128833333 -23.440725, -48.93870629953564 -23.44913638129485, -48.74855551882434 -23.45731609275844, -48.55838164236323 -23.46526401605163, -48.368185322962596 -23.47298003614446, -48.17796721473596 -23.48046404132056, -47.98772797306279 -23.48771592318249, -47.797468254551106 -23.494735576656968, -47.607188717 -23.5015229))",2018-09-13,2018-10-11
airway.30,32,2017-06-21,CONV,LOWER,245,FL,145,FL,25,40,205,222,A430,"MULTILINESTRING ((-55.707161111 -22.550075, -55.638170403529564 -22.41389518446119, -55.56931407155816 -22.277683681337148, -55.500590979938394 -22.14144075467052, -55.432 -22.005166667))",2018-09-13,2018-10-11
airway.31,33,2017-06-21,CONV,LOWER,245,FL,145,FL,24,41,204,221,A430,"MULTILINESTRING ((-54.969500000000004 -21.076, -54.899115082383744 -20.927925434150048, -54.82886835717485 -20.779819341818158, -54.75875851393341 -20.63168201650104, -54.68878425 -20.48351375))",2018-09-13,2018-10-11
airway.32,6120,2017-06-21,CONV,LOWER,245,FL,145,FL,25,42,205,222,A430,"MULTILINESTRING ((-55.432 -22.005166667, -55.35450516343149 -21.850402419047448, -55.27717707501549 -21.69559892769237, -55.20001411692549 -21.54075656828258, -55.12301468162643 -21.38587571380798, -55.0461771717559 -21.2309567349303, -54.969500000000004 -21.076))",2018-09-13,2018-10-11
